customer_id,age,email,salary,country,phone,signup_date
C02381,76,user2381@example.com,143978,UK,(384) 723-2959,6/9/2023
C00834,64,user1256@example.com,171407,Canada,274-425-7382,1/23/2023
C00169,57,user169@example.com,181165,USA,808 783 6298,3/23/2023
C04134,22,user4134@example.com,92532,UK,(830) 220-5237,4/27/2023
C00030,200,user30@example.com,88608,UK,(637) 409-3867,5/22/2023
C01748,19,user1748@example.com,143710,USA,9446789654,8/27/2023
C04984,56,user4984@example.com,117421,UK,291.572.2037,8/14/2023
C04980,200,user4980@example.com,141904,USA,(779) 617-3569,4/1/2023
C02112,0,.user@domain.com,,UK,-4351,11/5/2023
,43,no-dot@com,173250,Australia,,9/16/2023
C02811,35,user2811@example.com,58899,USA,424 579 5025,4/28/2023
C02102,30,user2102@example.com,115959,UK,535-816-2269,10/20/2023
C00512,51,user1011@example.com,36859,UK,(179) 787-1183,2023-04-31
C04631,50,user4631@example.com,38314,UK,670-387-6215,10/6/2023
C00545,40,user545@example.com,94887,Canada,689.184.2815,11/28/2023
C01742,78,user1742@example.com,,UK,703 527 5526,9/9/2023
C03732,55,user3732@example.com,58481,USA,(115) 675-8895,6/19/2023
C04817,65,user4817@example.com,181007,USA,7783667060,4/27/2023
C01718,31,user1718@example.com,100442,UK,,2023-02-30
C00995,71,user995@example.com,47374,Australia,521 880 2986,4/22/2023
C04789,36,user4789@example.com,166213,Australia,408.972.9496,12/7/2023
C02776,0,user2776@example.com,59670,USA,2003570520,3/18/2023
C04060,27,,117908,UK,573-829-4755,7/16/2023
C00024,41,user24@example.com,198785,USA,(684) 720-7382,8/19/2023
C00950,75,user950@example.com,,Australia,333 332 4438,1/10/2023
C00241,44,user241@example.com,61433,Canada,280 263 1706,9/3/2023
C01555,46,user1555@example.com,90652,USA,,6/24/2023
C01435,42,user1435@example.com,184455,Australia,-8576,9/26/2023
C01671,68,user1671@example.com,126143,Canada,3265977202,6/16/2023
C00486,50,user486@example.com,96216,Australia,537 314 6690,1/14/2023
C02754,-50,user2754@example.com,174740,Australia,(230) 630-1584,2023-04-31
C03652,47,user3652@example.com,59777,Australia,897.524.2835,3/18/2023
C04272,42,user4272@example.com,182647,Canada,968.335.6006,2/13/2023
C00804,76,user804@example.com,,Australia,,5/5/2023
C03781,47,user3781@example.com,41814,Australia,5128485075,5/6/2023
C01740,36,user1740@example.com,,Canada,997 639 3866,4/15/2023
C04016,69,user4016@example.com,90624,Canada,8932259541,6/23/2023
C02196,,user2196@example.com,113384,Australia,890.757.9569,3/28/2023
C00085,53,.user@domain.com,97055,Canada,606.760.2007,2023-02-30
C02124,75,user2124@example.com,,UK,458-751-4703,10/31/2023
C03017,,user3017@example.com,147925,,245.369.8486,3/8/2023
C02534,37,user2534@example.com,111441,Canada,,6/28/2023
C01872,64,user1872@example.com,71347,Australia,9667651430,2/10/2023
C00107,32,user107@example.com,87505,USA,(186) 240-7813,5/14/2023
C03151,75,user3151@example.com,33089,Australia,-6875,8/10/2023
C00100,66,user2990@example.com,0,USA,-5010,9/9/2023
C01579,64,user1579@example.com,,USA,-3105,6/1/2023
C00200,21,user200@example.com,79429,Australia,498 164 9856,8/3/2023
C04412,,user4412@example.com,166260,Brazil,(801) 287-2125,7/13/2023
C03066,28,user3066@example.com,,USA,223.312.4042,4/10/2023
C04956,51,user4956@example.com,,UK,,3/24/2023
C04241,56,user4241@example.com,169805,Australia,250-847-2817,8/30/2023
C04657,0,user4657@example.com,33771,UK,3981256048,12/23/2023
C03131,61,user3131@example.com,113521,Canada,560 720 4681,10/19/2023
C02182,300,user2182@example.com,57241,USA,-3667,9/14/2023
C03415,34,user3415@example.com,,UK,-4326,9/20/2023
C00882,79,user882@example.com,91510,Canada,,1/21/2023
C04223,20,user4223@example.com,101805,Mexico,(976) 291-2940,6/5/2023
C04570,-50,user4570@example.com,45385,USA,(186) 684-9390,12/26/2023
,48,user@,0,UK,159 432 9297,2023-06-31
C00554,75,.user@domain.com,41442,Australia,573-303-5289,5/3/2023
C00734,62,user734@example.com,,USA,4167591308,9/14/2023
C00180,22,user180@example.com,58151,Spain,119 609 3438,8/6/2023
C00417,50,user@@domain.com,68578,USA,488.534.4510,4/7/2023
C00080,25,user80@example.com,183077,USA,3090061251,9/18/2023
C00473,46,user473@example.com,0,Canada,-6525,4/14/2023
C00157,75,user671@example.com,60981,Canada,(400) 840-7395,2/8/2023
C04909,,user4909@example.com,197558,Mexico,655.185.3322,12/10/2023
C01502,200,user1502@example.com,181638,Australia,172-283-8548,3/9/2023
C02803,18,user2803@example.com,98689,USA,-7249,1/26/2023
C02093,60,user2093@example.com,109526,UK,-6606,10/3/2023
C00249,23,user249@example.com,107227,UK,303 865 6336,11/3/2023
C00539,-10,user539@example.com,86408,UK,(815) 367-9295,3/18/2023
C01346,54,,-1000,Canada,(744) 860-2971,5/30/2023
C04699,-25,no-dot@com,162385,Australia,-8034,7/2/2023
,51,user1271@example.com,191206,Canada,516.889.6123,1/11/2023
C00229,47,user229@example.com,35939,USA,1544998804,4/4/2023
C00298,61,user298@example.com,155681,USA,597 613 9629,12/31/2023
C02821,42,user2821@example.com,101792,UK,446 820 3870,2/22/2023
C03723,43,user3723@example.com,191183,Australia,947.103.6647,12/15/2023
C01184,73,user1184@example.com,53559,Australia,500 173 9648,11/2/2023
C02060,37,user2060@example.com,94427,Australia,(470) 648-4251,7/18/2023
C00191,70,user466@example.com,163872,Germany,538-453-6855,1/7/2023
C02992,999,user2992@example.com,177147,Canada,6520672499,5/9/2023
C00506,19,user506@example.com,80719,UK,(379) 239-1477,8/9/2023
C04081,23,user4081@example.com,98178,Canada,702 597 8657,2023-04-31
C03173,20,user3173@example.com,121828,Australia,967-171-5544,2023-13-01
C02094,77,user2094@example.com,177698,Canada,885-605-5129,4/10/2023
C01670,180,user1670@example.com,165899,Australia,982.251.7771,7/17/2023
C01753,28,user1753@example.com,65739,UK,600-413-1083,8/5/2023
C04785,34,user4785@example.com,67792,UK,(261) 206-1130,12/10/2023
C00350,31,user2654@example.com,85192,UK,,10/17/2023
C00427,50,user427@example.com,183484,UK,2578148768,2/21/2023
C01259,64,missingatsign.com,75541,Canada,706 230 5244,4/9/2023
C01074,40,user1074@example.com,199509,USA,877-407-9801,2/18/2023
C02907,25,user2907@example.com,126426,Australia,(707) 288-4555,8/20/2023
C03892,33,,44016,UK,266 240 6421,12/4/2023
,48,user4872@example.com,194244,UK,(202) 233-2385,9/4/2023
C00658,999,user658@example.com,114381,UK,441-108-2682,12/30/2023
C00394,55,user394@example.com,175342,UK,(826) 411-1471,1/19/2023
C03394,32,user3394@example.com,,USA,623 225 8884,10/21/2023
C00280,66,user280@example.com,189073,UK,2741009563,1/1/2023
C03719,27,user3719@example.com,181877,Australia,(867) 321-6070,3/4/2023
C04580,60,.user@domain.com,72719,Canada,190-402-3406,1/24/2023
,54,user1076@example.com,105403,Australia,489.574.6011,6/27/2023
C01136,28,user1136@example.com,109768,UK,748-468-1749,2023-09-31
C01589,52,user1589@example.com,179888,Canada,732-824-9907,10/25/2023
C00578,47,user578@example.com,56049,Canada,504.787.7076,10/14/2023
C02292,47,user2292@example.com,,Canada,613.787.1749,2/4/2023
C01053,0,missingatsign.com,,UK,-7159,8/30/2023
C01091,32,user1091@example.com,109818,Australia,9711293507,5/7/2023
C03412,62,user3412@example.com,156537,USA,,12/6/2023
C01428,68,user1428@example.com,95727,Australia,430-230-3979,12/8/2023
C01050,45,user1050@example.com,,USA,9357475916,6/17/2023
C04457,50,user4457@example.com,165864,Canada,-7609,3/22/2023
C02519,23,user@domain..com,115473,UK,129.581.1560,2/9/2023
C03163,47,user3163@example.com,143204,Mexico,-5870,11/13/2023
C00009,56,missingatsign.com,173217,Canada,755-306-5614,6/8/2023
C03858,52,user3858@example.com,171439,USA,3075769888,2/20/2023
C03516,47,,85501,Brazil,587-805-5539,9/9/2023
C04070,72,,186323,USA,-4804,3/29/2023
C00145,52,user145@example.com,49611,Canada,(488) 799-7390,10/1/2023
C01955,58,user1955@example.com,151585,UK,-9254,1/18/2023
C00562,60,user562@example.com,-20000,Canada,(982) 932-5361,5/12/2023
C03104,50,user3104@example.com,,USA,585 134 5569,7/10/2023
C03787,69,user3787@example.com,100601,USA,647 210 3322,5/4/2023
C04765,28,user4765@example.com,144897,Australia,(476) 458-2804,5/21/2023
C00152,75,user@@domain.com,158681,UK,376.373.2610,8/10/2023
C00423,25,missingatsign.com,,USA,390 567 6111,7/3/2023
C01019,45,user@.com,,Spain,344.304.2497,1/3/2023
C01060,37,user2707@example.com,38802,Australia,(937) 602-4085,not-a-date
C03376,24,user3376@example.com,63757,Canada,613-989-6016,2023-02-30
C01213,150,user1213@example.com,108768,Australia,(515) 932-1323,1/25/2023
C03045,50,user3045@example.com,87196,USA,(440) 467-8644,invalid-date
C00799,22,user799@example.com,193900,UK,-6187,11/12/2023
C03164,74,user3164@example.com,183956,UK,-3568,10/21/2023
C02715,45,,140195,Australia,741.536.7623,6/29/2023
C00415,50,user415@example.com,115076,USA,814.703.4033,12/20/2023
C02303,34,user2303@example.com,189629,UK,255 573 9175,5/12/2023
C04762,30,user4762@example.com,132802,UK,-5949,2023-06-31
C03592,29,user3998@example.com,111494,USA,217-720-2462,2/1/2023
C00625,39,user625@example.com,0,UK,579.547.2297,8/6/2023
C01616,66,user1616@example.com,170347,UK,380.593.4264,10/3/2023
C00765,30,user name@domain.com,131948,UK,338 504 6554,10/25/2023
C02681,52,user2681@example.com,132272,Germany,(967) 451-3998,11/12/2023
C04264,79,user4264@example.com,70736,Australia,586-462-1206,8/16/2023
C03533,0,,96917,China,2854663638,4/29/2023
C00812,62,user812@example.com,53408,Canada,9355465756,1/15/2023
C00101,-999,multiple@issues@invalid,-1,InvalidCountry,,invalid-date
C02824,50,user@,-10000,Australia,-4844,7/24/2023
C00654,53,user@,129575,Canada,270-256-8295,3/11/2023
C00860,62,user860@example.com,38328,Germany,162-134-7183,1/10/2023
C01613,70,user1613@example.com,32462,UK,(321) 987-6978,5/21/2023
C00764,72,user764@example.com,58927,USA,-9228,2/13/2023
C00334,20,user334@example.com,130755,USA,1172146239,5/30/2023
C01630,37,user1630@example.com,118209,UK,507.130.2878,1/30/2023
C04937,52,user4937@example.com,,UK,7547322886,6/9/2023
C04702,75,user4702@example.com,33285,USA,597-785-6165,10/8/2023
C00228,37,,154932,Australia,810 926 8798,1/8/2023
C01946,23,user1946@example.com,150544,Canada,(477) 145-5765,7/18/2023
C01352,20,user1352@example.com,87021,Mexico,(296) 528-5137,8/14/2023
C04343,65,user4343@example.com,,Canada,-2146,4/26/2023
C02697,31,,52504,Canada,-9476,8/5/2023
C00766,40,user766@example.com,0,Australia,-9190,12/21/2023
C01399,26,user1974@example.com,174282,USA,,1/3/2023
C04078,59,user4078@example.com,,USA,524 535 2641,5/25/2023
C04589,66,user4589@example.com,0,Canada,,5/13/2023
C04268,31,user4268@example.com,165958,USA,831.750.4184,7/30/2023
C03995,78,user3995@example.com,127352,USA,1651921884,3/9/2023
C03317,46,user3317@example.com,108840,USA,236-398-7009,7/7/2023
C03296,38,user3296@example.com,193499,Australia,610.841.7630,10/4/2023
C02764,79,user2764@example.com,0,USA,573.305.1924,2023-06-31
C03537,53,user3537@example.com,53956,Australia,2805418091,5/30/2023
C01232,54,user1232@example.com,-5000,UK,(137) 292-3321,3/1/2023
C03629,38,user@domain.,38720,Australia,-6743,3/9/2023
C03214,38,,163639,Australia,-5777,9/7/2023
C02623,53,user@domain..com,,USA,977 191 6468,6/1/2023
C04199,47,user4199@example.com,191409,India,3781500263,12/16/2023
C00374,76,user374@example.com,72998,UK,267.154.5467,9/25/2023
C03162,79,,119242,Germany,7735322123,6/24/2023
C04879,39,user4879@example.com,39491,Australia,-3409,6/4/2023
C04727,21,user4727@example.com,160503,Australia,-9262,2/6/2023
C02789,25,user2789@example.com,119813,Canada,5384891565,1/1/2023
C00034,39,user34@example.com,56917,Australia,(294) 448-8921,10/28/2023
,,user4097@example.com,162654,UK,(321) 596-5696,7/29/2023
C02313,76,user2313@example.com,135924,UK,883 123 5651,8/25/2023
C02408,44,,,Canada,619.594.9424,7/13/2023
C00927,31,@domain.com,64872,Canada,,3/9/2023
C02139,78,user2139@example.com,194439,Canada,179.153.3244,11/30/2023
C01774,41,user1774@example.com,116700,Canada,520 572 1453,9/13/2023
C02700,46,user2700@example.com,146944,Canada,457-799-3955,9/2/2023
C01552,26,user1552@example.com,100204,UK,933.472.1265,1/29/2023
C01306,23,user@domain..com,62954,UK,(504) 531-6426,5/6/2023
C02073,79,user2073@example.com,80733,Australia,8441627106,6/7/2023
C02727,73,invalid-email,136337,Australia,4647375561,11/2/2023
C02423,32,user2423@example.com,,Canada,(972) 261-3574,9/12/2023
,61,user3665@example.com,168439,Mexico,958.127.3282,8/20/2023
C02816,57,user2816@example.com,165639,Canada,108-982-1864,2023-06-31
C04689,60,.user@domain.com,133579,India,(829) 620-1276,2/23/2023
C00811,56,user811@example.com,191888,Canada,,7/14/2023
C01363,30,user1363@example.com,32985,Australia,721 378 4390,2/23/2023
C00231,28,user231@example.com,65063,USA,521 344 3859,7/3/2023
C03428,69,,121555,China,-4069,5/26/2023
C04213,0,,,UK,-9194,8/6/2023
C02471,34,user2471@example.com,115216,UK,(763) 689-6567,8/13/2023
C00247,71,,196132,USA,(119) 742-9457,1/19/2023
C03324,48,user name@domain.com,188901,Canada,-3767,8/21/2023
C00997,35,user997@example.com,75913,Canada,-8122,2/26/2023
C00777,300,,43652,Australia,448-547-3957,1/13/2023
C04248,68,user4248@example.com,111171,UK,230.226.4810,11/17/2023
C04167,,user4167@example.com,123144,Australia,(468) 385-5949,9/14/2023
C02092,54,@domain.com,157251,Australia,(512) 731-8758,5/24/2023
C01294,-10,user1294@example.com,95982,China,458-839-4050,3/31/2023
C03047,67,missingatsign.com,130625,USA,451-618-3376,12/7/2023
C04920,77,user4920@example.com,57197,UK,779.365.9427,1/15/2023
C04958,77,user4958@example.com,159263,Canada,519 121 3754,7/30/2023
C03708,-100,user3708@example.com,95185,Australia,,11/18/2023
C00712,19,user712@example.com,116346,UK,529.511.5986,1/16/2023
C00498,67,,30174,USA,520 426 2055,5/28/2023
C01832,57,user1832@example.com,134428,Canada,881 483 1482,12/15/2023
C04714,26,user4714@example.com,182297,USA,3833339397,1/1/2023
C02221,36,user2221@example.com,38947,USA,691.510.1467,4/29/2023
C03397,40,user3397@example.com,161949,Canada,280.497.4101,9/26/2023
C00590,36,user590@example.com,52931,USA,293-252-1894,9/27/2023
,43,user1527@example.com,184648,Canada,927-470-8046,12/27/2023
C04166,41,user4166@example.com,132511,UK,510-440-1359,7/14/2023
C02111,46,user2111@example.com,174403,USA,-8246,2023-11-31
C04334,63,,106407,Germany,-4779,5/19/2023
C04630,77,no-dot@com,109553,UK,847.662.8317,12/2/2023
C04613,300,user4613@example.com,130814,Canada,905.480.7247,8/1/2023
C02652,0,user2652@example.com,101894,Spain,,1/1/2023
C01109,21,user1109@example.com,157314,UK,(598) 286-9234,2/8/2023
C00150,59,user150@example.com,-10000,Canada,644-752-6797,2023-02-30
C04567,19,user4567@example.com,131164,UK,670 477 7843,8/31/2023
C04874,33,user4874@example.com,117236,UK,625 142 4861,4/27/2023
C00695,77,,38446,UK,836 705 9964,12/23/2023
C00013,28,user13@example.com,137507,USA,505.841.1477,1/25/2023
C03572,26,user3572@example.com,63461,Australia,2595749987,4/11/2023
C03270,27,user3270@example.com,,Australia,559-513-6472,2/9/2023
C01515,79,user@@domain.com,0,Canada,(497) 995-8573,1/1/2023
C01785,68,user@domain.,133754,Canada,-7827,4/1/2023
C03711,36,no-dot@com,82709,Australia,683.733.4185,4/25/2023
C00732,70,user732@example.com,112409,UK,-6698,3/4/2023
C00752,150,user752@example.com,199578,Australia,412.483.5968,5/24/2023
C04941,77,user4941@example.com,115914,UK,866 418 2945,7/12/2023
C01322,19,user1322@example.com,118059,Australia,817.353.8031,7/31/2023
C03993,65,user3993@example.com,181341,Canada,723-217-3378,5/19/2023
C01860,28,user1860@example.com,94140,Australia,(442) 883-1973,7/19/2023
,300,user3560@example.com,85390,Australia,(243) 922-4612,11/16/2023
C02888,66,user2888@example.com,151684,UK,452 850 1989,11/29/2023
C01127,65,user1127@example.com,146026,Australia,7006388717,4/23/2023
C04448,55,user4448@example.com,111932,USA,261-980-7843,6/21/2023
C02128,22,no-dot@com,60771,Mexico,-6569,9/5/2023
C04930,63,user4930@example.com,111187,USA,7019239448,1/17/2023
C01211,31,user1211@example.com,,USA,685.228.2629,6/10/2023
C02226,76,user2226@example.com,41618,USA,416-911-3317,1/25/2023
C01416,34,user1887@example.com,105910,Australia,656.310.9108,9/24/2023
C02043,46,user2043@example.com,99590,USA,,10/5/2023
C00587,-50,user587@example.com,105277,Canada,-4668,11/7/2023
C04644,64,user4644@example.com,108218,Australia,(299) 579-1055,3/28/2023
C02826,36,user2826@example.com,106981,USA,9518221601,11/17/2023
C04184,-5,,0,China,-8762,11/18/2023
C02340,63,user2340@example.com,181542,,311-691-8555,7/2/2023
C00133,-25,user133@example.com,169088,Australia,978.363.1232,5/31/2023
C01182,39,user1182@example.com,148570,Australia,661-501-6528,5/5/2023
C01741,65,user1741@example.com,142752,USA,795.457.6426,9/30/2023
C00978,23,user978@example.com,193244,Australia,(417) 542-8778,4/11/2023
C00283,33,user678@example.com,180946,Australia,340.314.1770,11/5/2023
C04379,63,user@domain..com,110664,Germany,(615) 266-6375,4/11/2023
C04708,52,user4708@example.com,51323,UK,,11/8/2023
C01118,22,user1118@example.com,69850,Australia,4266466941,3/13/2023
C00288,71,user288@example.com,179865,USA,492-474-8624,2023-09-31
C01414,43,user@@domain.com,119037,UK,388-465-2249,1/19/2023
C03136,23,,162371,Australia,891 176 8090,4/29/2023
C03686,30,user3686@example.com,35470,Canada,685 211 8952,4/1/2023
C04193,65,user4193@example.com,129864,Mexico,5486043678,10/25/2023
C01324,28,user1324@example.com,139388,Canada,3624656441,9/1/2023
C04731,66,user4731@example.com,194832,USA,(175) 268-7985,9/26/2023
C03866,63,user3866@example.com,62991,USA,724-428-8991,3/27/2023
C01944,71,user1944@example.com,169707,Australia,517.767.7139,11/9/2023
C04294,26,,175457,Australia,,4/23/2023
C04215,23,user4215@example.com,175693,UK,(900) 618-1473,7/14/2023
C00843,44,user843@example.com,192026,UK,542.964.7666,6/21/2023
C03497,37,user@domain.,151648,Australia,-8631,2/25/2023
C01293,48,user1293@example.com,44031,Australia,405.462.2755,12/6/2023
C02693,28,user2693@example.com,100474,UK,(648) 323-6656,7/7/2023
C04544,56,user4544@example.com,42879,Canada,(972) 234-3139,2023-11-31
C01766,51,user1766@example.com,187005,UK,-5308,8/16/2023
C04894,47,user4894@example.com,40292,Canada,412-614-9496,11/13/2023
C00959,45,user4651@example.com,41434,USA,1549857034,1/3/2023
C01349,53,user1349@example.com,,France,659-733-6618,2/28/2023
C02582,49,user2582@example.com,42940,Australia,111.752.2921,1/22/2023
C00682,19,user682@example.com,163498,USA,540.216.4714,10/18/2023
C03974,66,user3974@example.com,173518,Australia,-10359,7/26/2023
,62,user1418@example.com,82265,USA,-9046,4/6/2023
C02122,,user2122@example.com,114577,UK,438 196 2001,10/13/2023
C04602,,user4602@example.com,141850,USA,8025397565,9/14/2023
C02630,-1,user2630@example.com,86240,USA,445.925.8172,4/5/2023
C02025,19,user2025@example.com,191077,Australia,7428390960,1/13/2023
C03283,71,user3283@example.com,,Canada,660 681 5180,10/5/2023
C02224,45,user2224@example.com,30507,Canada,-4238,5/4/2023
C00970,30,user970@example.com,178961,Australia,291-303-2138,10/16/2023
C01240,43,user1240@example.com,46351,Canada,1875155003,12/18/2023
,62,user4517@example.com,165772,UK,5700684242,2/27/2023
C04886,38,user@domain.,152761,Australia,(267) 121-6909,4/18/2023
C04679,41,user4679@example.com,73074,Australia,227 259 7495,10/1/2023
C04084,24,user4084@example.com,74565,UK,-3109,1/31/2023
C02687,-25,user2687@example.com,30463,Australia,-2479,1/25/2023
C02446,30,user2446@example.com,134975,Australia,650.478.8178,12/12/2023
C00556,66,user556@example.com,0,UK,510-732-8027,12/23/2023
C02058,42,user2058@example.com,55216,UK,885.884.2039,9/24/2023
C00430,76,user430@example.com,87649,Brazil,246-504-7563,7/8/2023
C04604,72,user4604@example.com,46138,UK,677.583.5437,7/27/2023
C03566,-1,user3566@example.com,148910,Australia,130.133.1188,11/5/2023
C04273,57,user4273@example.com,142260,UK,136-978-2701,6/23/2023
C03019,27,user3019@example.com,-1000,Canada,278 114 2844,11/9/2023
C03541,58,user3541@example.com,185732,Australia,830.632.9697,1/6/2023
C04146,52,user4146@example.com,78270,UK,255.166.8273,2/13/2023
C03114,21,user3114@example.com,83785,Canada,-4792,3/4/2023
C04376,29,user4376@example.com,187212,Australia,381 154 8526,12/2/2023
C00291,49,user291@example.com,66191,USA,-6071,2/18/2023
C03804,64,user3804@example.com,,UK,816 162 7597,4/8/2023
C02147,41,user2147@example.com,39290,UK,(748) 953-5550,6/8/2023
C00253,79,,185344,USA,699 596 1890,7/11/2023
C04351,38,user4351@example.com,86017,USA,,9/5/2023
C00351,67,user351@example.com,45417,Australia,9145099778,4/20/2023
C04807,37,user4807@example.com,87089,Australia,6700521446,6/26/2023
C02528,29,user2528@example.com,151897,USA,(430) 772-9847,11/3/2023
C03487,75,missingatsign.com,,Canada,,5/14/2023
C00472,41,user472@example.com,152049,UK,773 984 7921,8/14/2023
C00091,23,user91@example.com,68342,USA,683.913.5989,1/2/2023
C01739,38,user name@domain.com,,USA,998.741.9927,2/10/2023
C01437,50,user1437@example.com,53666,Canada,-6178,12/26/2023
C00692,77,user692@example.com,123863,Canada,,7/25/2023
C04887,150,user4887@example.com,186568,Canada,253.247.2851,11/18/2023
C00027,0,user27@example.com,119678,USA,5430809445,9/1/2023
C02293,54,user2293@example.com,57843,UK,-6460,10/21/2023
C03642,60,user3642@example.com,66160,Australia,(707) 193-4243,3/1/2023
C03709,23,user3709@example.com,63477,UK,(438) 678-2686,10/8/2023
C00502,40,user502@example.com,135410,USA,,6/18/2023
C04592,40,user4592@example.com,56393,Canada,644.341.4684,11/27/2023
C01607,71,user1607@example.com,72222,UK,(405) 110-3927,6/27/2023
C02099,41,user2099@example.com,87514,Canada,420 767 4862,11/27/2023
C04607,55,user4607@example.com,122259,UK,(387) 229-2295,5/17/2023
C02978,42,user2978@example.com,33174,Australia,,4/4/2023
C04033,43,user4033@example.com,64831,USA,333 233 3072,12/22/2023
C01420,42,user1420@example.com,189882,USA,-8036,3/8/2023
C00255,50,,138042,Australia,(496) 482-3234,6/24/2023
C01898,150,user1898@example.com,181738,UK,8577146879,1/13/2023
C03404,38,user3404@example.com,129508,USA,206 926 9395,9/21/2023
C01979,76,user1979@example.com,44859,USA,813 670 4955,11/5/2023
,58,user4325@example.com,,USA,805-147-8141,8/28/2023
C02527,-100,user2527@example.com,57464,Canada,587.580.5208,5/16/2023
C01273,73,user1273@example.com,151015,USA,1402153307,11/24/2023
C01452,300,user1452@example.com,151008,USA,-9706,5/25/2023
C01262,66,user1262@example.com,,USA,681 853 5380,9/27/2023
C04899,36,user4899@example.com,52912,Brazil,2500493518,1/8/2023
C04663,25,user4663@example.com,137779,UK,(452) 230-7119,5/7/2023
C00316,39,@domain.com,35722,Australia,-7163,2/15/2023
C02158,21,user2158@example.com,112666,Australia,,6/2/2023
C01095,69,user@.com,0,USA,219-889-2512,2/13/2023
C04911,42,missingatsign.com,137338,Canada,-4574,7/16/2023
C01116,37,user1116@example.com,197361,Australia,165.450.1486,7/29/2023
C03611,57,,170021,UK,404 262 1339,3/15/2023
C03138,40,user3138@example.com,166066,USA,-4390,6/20/2023
C00070,,user name@domain.com,84040,Canada,886.456.3087,5/12/2023
C03264,19,user3264@example.com,-10000,Australia,,2/4/2023
C04049,40,user4049@example.com,84225,Australia,-4758,9/22/2023
C01659,18,user1659@example.com,199024,Australia,3654191036,5/23/2023
C04622,28,.user@domain.com,82389,Australia,895.424.6061,12/14/2023
C03050,-5,,63324,Canada,2702311064,2/11/2023
C03128,67,,-1000,Canada,870-542-1703,3/5/2023
C03874,42,,63785,Australia,414 190 6328,5/1/2023
C03729,56,user3729@example.com,156044,Canada,2142626871,6/18/2023
C01500,29,user@domain..com,107963,Australia,(402) 265-2116,9/29/2023
C02651,59,user2651@example.com,,UK,8738351331,12/30/2023
C03655,64,user3655@example.com,117201,UK,583.752.9148,5/16/2023
C01345,55,user1345@example.com,44079,Australia,-3423,8/6/2023
